bebida,borda,ingrediente 1,ingrediente 2,ingrediente 3,ingrediente 4,ingrediente 5,massa,queijo 1,queijo 2
refrigerante,cheddar,tomate,milho,bacon,linguiça calabresa defumada,cogumelos,massa tradicional,mussarela,provolone
refrigerante,borda tradicional,tomate,azeitona,presunto,milho,bacon,massa final,mussarela,provolone
vinho tinto,borda tradicional,cebola,tomate seco,azeite de oliva,orégano,NA,massa tradicional,mussarela,parmesão
refrigerante,cream cheese,cogumelos,azeitona,cebola,pepperoni,camarão,massa grossa,provolone,cheddar
chá gelado,sabor catupiry,presunto,tomate,bacon,NA,NA,massa final,provolone,parmesão
refrigerante,cream cheese,calabresa,bacon,orégano,tomate,cebola,massa final,mussarela,parmesão
vinho tinto,borda tradicional,queijo gouda,amêndoas,pêssego,NA,NA,massa final,NA,NA
refrigerante,sabor catupiry,atum,cebola,azeitona,tomate,pimenta biquinho,massa tradicional,mussarela,provolone
refrigerante,cream cheese,pepperoni,bacon,orégano,azeite de oliva,queijo coalho grelhado,massa final,provolone,parmesão
suco de abacaxi,borda tradicional,cebola,calabresa,azeite de oliva,NA,NA,massa tradicional,mussarela,NA
refrigerante,borda tradicional,pepperoni,azeitona,bacon,queijo coalho grelhado,orégano,massa final,mussarela,queijo coalho
suco de maracujá,cream cheese,alho,tomate,azeitona,tomate,anchova,massa tradicional,parmesão,catupiry
refrigerante,borda tradicional,tomate,calabresa,orégano,pimentão,bacon,massa final,mussarela,catupiry
cerveja,borda tradicional,calabresa,azeitona,cebola,NA,NA,massa tradicional,parmesão,provolone
refrigerante,borda tradicional,pepperoni,cebola,alho,azeite de oliva,tomate,massa tradicional,mussarela,gorgonzola
refrigerante,cream cheese,frango,palmito,alho-poró,pimentão assado,azeitona,massa tradicional,mussarela,queijo feta
refrigerante,borda tradicional,camarão,alho,castanhas,NA,rúcula,massa tradicional,mussarela,gorgonzola
vinho tinto,borda tradicional,tomate,pepperoni,bacon,NA,NA,massa tradicional,mussarela,parmesão
cerveja,sabor catupiry,brócolis,azeite de oliva,alho,tomate,azeitona,massa final,provolone,cheddar
refrigerante,borda tradicional,bacon,ovo,abacate,azeitona,cogumelos,massa tradicional,mussarela,gorgonzola
chá gelado,sabor catupiry,pepperoni,NA,NA,NA,NA,massa final,provolone,mussarela
refrigerante,borda tradicional,pepperoni,bacon,azeitona,tomate,alcaparra,massa tradicional,mussarela,parmesão
chá gelado,cream cheese,tomate seco,frango,milho,salsinha,bacon,massa integral,mussarela,parmesão
chá gelado,sabor catupiry,frango,bacon,milho,azeitona,tomate,massa final,mussarela,catupiry
refrigerante,borda tradicional,pepperoni,alho,NA,NA,NA,massa tradicional,mussarela,NA
vinho tinto,sabor catupiry,tomate,brócolis,pepperoni,tomate seco,cogumelos,massa final,gorgonzola,provolone
vinho tinto,cream cheese,presunto,cebola,alho,ovo,orégano,massa integral,ricota,queijo brie
refrigerante,borda tradicional,anchova,tomate,azeitona,azeite de oliva,rúcula,massa final,mussarela,NA
refrigerante,borda tradicional,cebola,tomate,bacon,carne seca,orégano,massa final,mussarela,catupiry
cerveja,sabor catupiry,calabresa,azeitona,ovo,bacon,cebola,massa final,mussarela,queijo brie
suco de laranja,sabor catupiry,brócolis,bacon,alho,NA,NA,massa final,mussarela,NA
vinho tinto,borda tradicional,bacon,tomate seco,azeitona,palmito,linguiça calabresa defumada,massa tradicional,mussarela,gorgonzola
chá gelado,cream cheese,frango,tomate seco,azeite de oliva,bacon,pimenta biquinho,massa integral,parmesão,ricota
refrigerante,sabor catupiry,bacon,frango,azeitona,linguiça calabresa defumada,cebola,massa tradicional,catupiry,mussarela
refrigerante,sabor catupiry,frango,carne seca,queijo roquefort,cebola,orégano,massa tradicional,mussarela,cheddar
chá gelado,borda tradicional,pimentão assado,cogumelos,azeitona,orégano,alho,massa final,mussarela,queijo coalho
suco de maracujá,cheddar,pepperoni,queijo roquefort,milho,queijo gouda,azeitona,massa final,gorgonzola,mussarela
chá gelado,borda tradicional,alcaparra,azeite de oliva,tomate,cogumelos,orégano,massa tradicional,mussarela,queijo brie
refrigerante,sabor catupiry,azeitona,calabresa,palmito,frango,uva passa,massa final,cheddar,catupiry
cerveja,borda tradicional,pepperoni,cebola,tomate,bacon,calabresa,massa tradicional,mussarela,queijo coalho
refrigerante,cream cheese,carne seca,bacon,calabresa,cebola,presunto,massa final,mussarela,cheddar
refrigerante,sabor catupiry,pepperoni,tomate,cebola,cogumelos,palmito,massa final,mussarela,parmesão
suco de laranja,borda tradicional,azeite de oliva,linguiça calabresa defumada,bacon,alho,orégano,massa tradicional,parmesão,queijo brie
refrigerante,sabor catupiry,cebola,calabresa,orégano,tomate,alho,massa tradicional,mussarela,provolone
cerveja,sabor catupiry,tomate,calabresa,azeite de oliva,queijo gouda,cebola,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,bacon,carne seca,alho-poró,pimenta biquinho,queijo coalho grelhado,massa grossa,mussarela,queijo brie
água com gás,cream cheese,frango,calabresa,tomate,azeitona,orégano,massa tradicional,mussarela,catupiry
cerveja,sabor catupiry,pepperoni,presunto,rúcula,bacon,tomate seco,massa tradicional,queijo brie,gorgonzola
limonada,sabor catupiry,pepperoni,azeite de oliva,tomate,queijo gouda,queijo roquefort,massa tradicional,mussarela,parmesão
água com gás,borda tradicional,calabresa,bacon,presunto,milho,frango,massa final,mussarela,parmesão
refrigerante,sabor catupiry,orégano,cebola,pepperoni,calabresa,azeite de oliva,massa tradicional,mussarela,cheddar
refrigerante,borda tradicional,pepperoni,cogumelos,tomate,bacon,orégano,massa grossa,mussarela,catupiry
refrigerante,sabor catupiry,pepperoni,milho,palmito,bacon,frango,massa tradicional,parmesão,queijo brie
refrigerante,cheddar,alho,cebola,bacon,calabresa,pimenta calabresa,massa tradicional,parmesão,catupiry
vinho tinto,sabor catupiry,bacon,frango,orégano,azeite de oliva,tomate seco,massa final,gorgonzola,mussarela
refrigerante,cheddar,bacon,pimentão,cogumelos,NA,NA,massa tradicional,mussarela,parmesão
cerveja,borda tradicional,pepperoni,tomate,queijo cheddar,azeitona,bacon,massa final,cheddar,provolone
vinho tinto,borda tradicional,abobrinha,NA,NA,NA,NA,massa tradicional,mussarela,parmesão
suco de maracujá,sabor catupiry,pepperoni,bacon,palmito,tomate seco,cebola caramelizada,massa tradicional,catupiry,mussarela
água com gás,sabor catupiry,calabresa,cebola,ovo,cogumelos,azeitona,massa tradicional,mussarela,gorgonzola
refrigerante,borda tradicional,cogumelos,calabresa,pepperoni,linguiça calabresa defumada,azeite de oliva,massa final,queijo coalho,parmesão
limonada,cheddar,calabresa,bacon,presunto,queijo cheddar,camarão,massa tradicional,mussarela,provolone
refrigerante,borda tradicional,carne seca,cebola,bacon,azeitona,NA,massa tradicional,mussarela,queijo coalho
refrigerante,borda tradicional,pepperoni,orégano,alho-poró,cogumelos,pimentão,massa tradicional,mussarela,NA
vinho tinto,borda tradicional,nozes,mel,NA,NA,NA,massa final,gorgonzola,NA
limonada,sabor catupiry,pepperoni,ervilha,azeitona,bacon,frango,massa tradicional,catupiry,gorgonzola
cerveja,cheddar,bacon,calabresa,azeitona,tomate,queijo cheddar,massa tradicional,mussarela,catupiry
suco de abacaxi,cheddar,presunto,azeitona,brócolis,queijo roquefort,lentilha,massa final,ricota,queijo brie
suco de laranja,borda tradicional,frango,cogumelos,salsinha,orégano,NA,massa final,mussarela,catupiry
suco de laranja,sabor catupiry,bacon,carne seca,tomate seco,cogumelos,azeitona,massa final,mussarela,parmesão
refrigerante,borda tradicional,pepperoni,azeitona,cebola,bacon,palmito,massa tradicional,mussarela,cheddar
NA,sabor catupiry,cogumelos,bacon,milho,NA,NA,massa tradicional,mussarela,parmesão
NA,borda tradicional,orégano,tomate,linguiça calabresa defumada,cebola,presunto,massa tradicional,mussarela,provolone
refrigerante,borda tradicional,frango,bacon,azeite de oliva,orégano,azeitona,massa final,catupiry,NA
suco de abacaxi,borda tradicional,orégano,calabresa,azeitona,tomate,cebola,massa final,mussarela,parmesão
refrigerante,sabor catupiry,calabresa,linguiça calabresa defumada,orégano,ervilha,milho,massa tradicional,catupiry,mussarela
suco de maracujá,sabor catupiry,tomate seco,frango,cebola,rúcula,orégano,massa tradicional,parmesão,mussarela
chá gelado,borda tradicional,bacon,ovo,cogumelos,azeite de oliva,carne seca,massa tradicional,parmesão,catupiry
suco de laranja,borda tradicional,cebola,azeitona,brócolis,palmito,milho,massa final,NA,NA
água com gás,sabor catupiry,pepperoni,alho,azeitona,tomate,bacon,massa tradicional,mussarela,provolone
refrigerante,sabor catupiry,calabresa,cebola,cebola,orégano,NA,massa tradicional,mussarela,catupiry
limonada,sabor catupiry,pimentão,azeitona,pepperoni,uva passa,cebola,massa final,provolone,mussarela
água com gás,borda tradicional,calabresa,alho,azeitona,azeite de oliva,anchova em conserva,massa grossa,mussarela,parmesão
refrigerante,borda tradicional,tomate,calabresa,pepperoni,NA,NA,massa final,mussarela,parmesão
refrigerante,sabor catupiry,brócolis,bacon,NA,NA,NA,massa tradicional,mussarela,NA
refrigerante,sabor catupiry,pepperoni,NA,NA,NA,NA,massa grossa,NA,cheddar
chá gelado,sabor catupiry,alho-poró,orégano,brócolis,linguiça calabresa defumada,atum,massa final,mussarela,provolone
chá gelado,sabor catupiry,anchova,alcaparra,queijo feta,tofu,amêndoas,massa grossa,queijo brie,gorgonzola
vinho tinto,borda tradicional,cogumelos,alho,brócolis,espinafre,tomate seco,massa integral,NA,NA
vinho tinto,sabor catupiry,presunto,ervilha,tomate,palmito,ovo,massa final,mussarela,NA
chá gelado,sabor catupiry,pepperoni,abobrinha,palmito,azeitona,cebola caramelizada,massa final,mussarela,NA
NA,borda tradicional,cebola,alho,azeitona,alho-poró,NA,massa tradicional,provolone,parmesão
cerveja,cheddar,presunto,pepperoni,bacon,palmito,calabresa,massa tradicional,catupiry,mussarela
refrigerante,sabor catupiry,orégano,queijo cheddar,tomate,calabresa,cebola,massa tradicional,mussarela,cheddar
chá gelado,borda tradicional,rúcula,tomate seco,NA,NA,NA,massa tradicional,mussarela,NA
refrigerante,sabor catupiry,frango,tomate,milho,bacon,azeitona,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,cebola,calabresa,NA,NA,NA,massa tradicional,NA,mussarela
refrigerante,cheddar,pepperoni,tomate,cebola,orégano,azeitona,massa tradicional,mussarela,cheddar
chá gelado,borda tradicional,calabresa,cebola,azeitona,orégano,NA,massa final,mussarela,mussarela
refrigerante,sabor catupiry,tomate,azeitona,palmito,cebola,queijo gouda,massa tradicional,mussarela,gorgonzola
suco de laranja,cream cheese,presunto,calabresa,azeitona,ovo,linguiça,massa tradicional,cheddar,catupiry
suco de abacaxi,borda tradicional,cogumelos,bacon,pepperoni,azeitona,alho,massa integral,mussarela,parmesão
suco de maracujá,sabor catupiry,tomate,bacon,frango,milho,orégano,massa tradicional,mussarela,catupiry
suco de maracujá,borda tradicional,calabresa,presunto,azeitona,palmito,bacon,massa final,mussarela,parmesão
vinho tinto,borda tradicional,azeitona,bacon,linguiça calabresa defumada,presunto,cebola,massa tradicional,parmesão,gorgonzola
suco de maracujá,cheddar,presunto,pepperoni,bacon,milho,mel,massa tradicional,parmesão,provolone
NA,borda tradicional,pepperoni,tomate,azeite de oliva,linguiça,rúcula,massa grossa,mussarela,parmesão
refrigerante,sabor catupiry,bacon,azeite de oliva,presunto,cebola,orégano,massa tradicional,mussarela,catupiry
limonada,sabor catupiry,alho-poró,pepperoni,rúcula,carne seca,tomate seco,massa integral,mussarela,parmesão
refrigerante,sabor catupiry,presunto,cebola,azeitona,bacon,tomate seco,massa tradicional,parmesão,cheddar
refrigerante,sabor catupiry,pepperoni,tomate,cogumelos,orégano,bacon,massa tradicional,mussarela,provolone
refrigerante,cheddar,queijo gouda,bacon,frango,cogumelos,azeitona,massa tradicional,mussarela,parmesão
cerveja,cream cheese,pepperoni,calabresa,cebola,tomate seco,bacon,massa final,mussarela,queijo coalho
chá gelado,sabor catupiry,milho,tomate,calabresa,alho-poró,NA,massa tradicional,queijo coalho,mussarela
vinho tinto,borda tradicional,carne moída,cebolinha,linguiça,azeite de oliva,linguiça calabresa defumada,massa grossa,mussarela,parmesão
água com gás,sabor catupiry,cogumelos,azeitona,azeite de oliva,tofu,orégano,massa final,mussarela,gorgonzola
refrigerante,cream cheese,cebola,pimentão,tomate seco,carne seca,linguiça calabresa defumada,massa final,mussarela,parmesão
vinho tinto,cheddar,salsinha,pimenta calabresa,alho-poró,azeite de oliva,cogumelos,massa integral,mussarela,provolone
suco de maracujá,sabor catupiry,presunto,tomate,bacon,calabresa,palmito,massa tradicional,parmesão,mussarela
refrigerante,sabor catupiry,cogumelos,camarão,alho-poró,alho,azeite de oliva,massa tradicional,mussarela,queijo brie
refrigerante,sabor catupiry,tomate,azeitona,alho,azeite de oliva,atum,massa tradicional,mussarela,parmesão
água com gás,cream cheese,alho-poró,linguiça calabresa defumada,queijo coalho grelhado,orégano,cebola,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,frango,milho,ovo,alho,orégano,massa final,mussarela,catupiry
suco de maracujá,sabor catupiry,carne seca,pepperoni,cogumelos,bacon,linguiça calabresa defumada,massa grossa,mussarela,parmesão
cerveja,sabor catupiry,calabresa,bacon,alho,frango,linguiça calabresa defumada,massa tradicional,mussarela,parmesão
cerveja,sabor catupiry,tomate,presunto,cebola,azeitona,ovo,massa final,mussarela,parmesão
limonada,borda tradicional,pepperoni,tomate,azeitona,brócolis,calabresa,massa tradicional,mussarela,parmesão
vinho tinto,sabor catupiry,alho-poró,tomate,cogumelos,pepperoni,bacon,massa tradicional,mussarela,catupiry
NA,sabor catupiry,cebola,bacon,linguiça calabresa defumada,azeitona,azeite de oliva,massa tradicional,mussarela,catupiry
refrigerante,sabor catupiry,linguiça calabresa defumada,tomate seco,cebolinha,azeitona,NA,massa grossa,mussarela,cheddar
vinho tinto,borda tradicional,presunto,tomate,azeitona,bacon,NA,massa tradicional,mussarela,parmesão
vinho tinto,cheddar,cebola,frango,bacon,salsinha,milho,massa final,catupiry,provolone
vinho tinto,sabor catupiry,tomate,presunto,bacon,milho,queijo cheddar,massa tradicional,mussarela,cheddar
cerveja,cream cheese,cebola,tomate,palmito,camarão,cebolinha,massa final,mussarela,ricota
suco de uva,sabor catupiry,bacon,ovo,carne seca,milho,pepperoni,massa tradicional,mussarela,parmesão
água com gás,sabor catupiry,brócolis,bacon,espinafre,azeite de oliva,rúcula,massa tradicional,parmesão,queijo coalho
refrigerante,sabor catupiry,cogumelos,azeitona,pepperoni,NA,NA,massa tradicional,mussarela,queijo brie
refrigerante,borda tradicional,presunto,calabresa,milho,alho-poró,salsinha,massa final,mussarela,parmesão
cerveja,borda tradicional,pepperoni,azeitona,cebola,azeite de oliva,rúcula,massa tradicional,mussarela,gorgonzola
cerveja,cream cheese,azeite de oliva,pepperoni,orégano,tomate,alho,massa tradicional,gorgonzola,queijo brie
suco de laranja,borda tradicional,presunto,tomate,bacon,calabresa,frango,massa final,mussarela,parmesão
chá gelado,cream cheese,frango,brócolis,cogumelos,cebola,alho,massa final,mussarela,gorgonzola
suco de maracujá,cheddar,alho,brócolis,cebola,palmito,alho-poró,massa final,mussarela,NA
refrigerante,cream cheese,calabresa,queijo coalho grelhado,tomate,milho,carne seca,massa tradicional,mussarela,catupiry
suco de maracujá,sabor catupiry,linguiça calabresa defumada,cebola,bacon,orégano,NA,massa tradicional,mussarela,queijo coalho
suco de maracujá,sabor catupiry,pepperoni,milho,tomate,bacon,calabresa,massa tradicional,cheddar,catupiry
cerveja,borda tradicional,pepperoni,queijo gouda,cebola,tomate,azeitona,massa final,mussarela,parmesão
vinho tinto,cheddar,bacon,linguiça calabresa defumada,uva passa,frango,tomate,massa tradicional,cheddar,catupiry
refrigerante,borda tradicional,pepperoni,bacon,orégano,cebola,cogumelos,massa tradicional,mussarela,cheddar
cerveja,sabor catupiry,pepperoni,tomate,azeitona,espinafre,frango,massa tradicional,mussarela,catupiry
refrigerante,cream cheese,azeitona,camarão,presunto,NA,NA,massa tradicional,gorgonzola,mussarela
vinho tinto,cream cheese,alho,ovo,queijo coalho grelhado,cebola caramelizada,orégano,massa final,mussarela,parmesão
suco de laranja,sabor catupiry,carne seca,cebola,azeitona,tomate,bacon,massa tradicional,mussarela,queijo coalho
vinho tinto,sabor catupiry,bacon,calabresa,pimenta calabresa,cebola,tomate,massa tradicional,mussarela,catupiry
refrigerante,cream cheese,tomate,azeitona,bacon,ovo,presunto,massa tradicional,cheddar,gorgonzola
limonada,borda tradicional,pepperoni,cogumelos,azeitona,alho,azeite de oliva,massa final,mussarela,queijo coalho
vinho tinto,borda tradicional,anchova em conserva,cogumelos,tomate,pepperoni,cebola,massa tradicional,mussarela,gorgonzola
suco de abacaxi,sabor catupiry,cebola,anchova,carne seca,cogumelos,cebola,massa tradicional,gorgonzola,cheddar
refrigerante,borda tradicional,bacon,linguiça calabresa defumada,presunto,tomate,frango,massa tradicional,mussarela,parmesão
suco de abacaxi,sabor catupiry,brócolis,tomate,cebola,abobrinha,espinafre,massa tradicional,NA,NA
refrigerante,borda tradicional,pimentão,presunto,pepperoni,calabresa,orégano,massa grossa,mussarela,parmesão
suco de laranja,sabor catupiry,milho,tomate,calabresa,presunto,cebola caramelizada,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,calabresa,tomate,tomate,NA,NA,massa final,mussarela,mussarela
cerveja,sabor catupiry,pepperoni,tomate,bacon,NA,NA,massa tradicional,mussarela,parmesão
suco de uva,cheddar,espinafre,abobrinha,alcaparra,berinjela,frango,massa grossa,parmesão,mussarela
refrigerante,sabor catupiry,azeitona,frango,tomate,atum,milho,massa tradicional,catupiry,cheddar
cerveja,sabor catupiry,carne seca,cebola caramelizada,mel,queijo de cabra,NA,massa tradicional,mussarela,queijo brie
chá gelado,borda tradicional,pepperoni,cebola,alho,frango,bacon,massa tradicional,mussarela,queijo coalho
suco de abacaxi,borda tradicional,pepperoni,tomate,bacon,camarão,carne seca,massa tradicional,mussarela,gorgonzola
cerveja,cream cheese,azeite de oliva,alcaparra,tomate,alho,azeitona,massa final,gorgonzola,queijo brie
cerveja,sabor catupiry,brócolis,milho,camarão,NA,NA,massa tradicional,mussarela,catupiry
suco de uva,sabor catupiry,pepperoni,azeitona,cebola,orégano,cebolinha,massa tradicional,mussarela,cheddar
suco de maracujá,cheddar,tomate,palmito,frango,orégano,ovo,massa tradicional,parmesão,mussarela
refrigerante,cheddar,bacon,tomate,cebola,orégano,milho,massa final,mussarela,cheddar
chá gelado,borda tradicional,pimentão,azeitona,tomate seco,tomate,cogumelos,massa final,parmesão,cheddar
vinho tinto,cream cheese,pepperoni,azeitona,cogumelos,tomate seco,cebola caramelizada,massa final,queijo brie,provolone
suco de laranja,sabor catupiry,frango,bacon,milho,presunto,azeitona,massa final,catupiry,mussarela
chá gelado,borda tradicional,palmito,cogumelos,pepperoni,pimentão,azeitona,massa tradicional,provolone,mussarela
suco de abacaxi,sabor catupiry,alho,pimentão,picles,calabresa,milho,massa tradicional,cheddar,catupiry
refrigerante,cheddar,frango,azeitona,milho,carne seca,tomate,massa final,mussarela,catupiry
cerveja,borda tradicional,azeitona,NA,orégano,NA,NA,massa tradicional,provolone,gorgonzola
refrigerante,sabor catupiry,bacon,calabresa,cogumelos,tomate,linguiça,massa final,mussarela,catupiry
refrigerante,borda tradicional,milho,linguiça calabresa defumada,presunto,cebola,bacon,massa grossa,mussarela,NA
cerveja,sabor catupiry,cebola,pepperoni,tomate,azeitona,milho,massa tradicional,mussarela,provolone
refrigerante,borda tradicional,bacon,milho,NA,orégano,NA,massa tradicional,mussarela,gorgonzola
vinho tinto,borda tradicional,cebola,cogumelos,pepperoni,azeitona,bacon,massa tradicional,cheddar,catupiry
suco de abacaxi,cheddar,azeitona,calabresa,bacon,NA,NA,massa tradicional,mussarela,NA
chá gelado,borda tradicional,lentilha,grão de bico,alho-poró,uva passa,pimenta biquinho,massa integral,queijo coalho,ricota
cerveja,cream cheese,brócolis,calabresa,bacon,alho,tomate,massa tradicional,mussarela,catupiry
suco de laranja,sabor catupiry,milho,pimentão assado,atum,tomate seco,azeitona,massa final,mussarela,catupiry
refrigerante,sabor catupiry,presunto,tomate,orégano,camarão,azeitona,massa tradicional,cheddar,queijo coalho
refrigerante,cheddar,linguiça calabresa defumada,azeitona,bacon,ovo,pimenta calabresa,massa final,mussarela,parmesão
refrigerante,borda tradicional,pepperoni,tomate,alho,NA,NA,massa tradicional,mussarela,NA
cerveja,sabor catupiry,bacon,azeitona,pepperoni,cogumelos,orégano,massa final,gorgonzola,queijo brie
refrigerante,sabor catupiry,bacon,presunto,calabresa,cebola,ovo,massa tradicional,catupiry,mussarela
água com gás,borda tradicional,cogumelos,pepperoni,alho,azeitona,cebola,massa grossa,gorgonzola,mussarela
refrigerante,borda tradicional,cogumelos,calabresa,palmito,alho,bacon,massa final,mussarela,parmesão
refrigerante,borda tradicional,tomate,alho,milho,calabresa,cebolinha,massa final,mussarela,parmesão
cerveja,borda tradicional,azeitona,tomate,cogumelos,abobrinha,orégano,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,pimentão,camarão,azeitona,frango,queijo coalho grelhado,massa tradicional,mussarela,parmesão
vinho tinto,borda tradicional,rúcula,cebola caramelizada,tomate seco,bacon,alho-poró,massa tradicional,mussarela,parmesão
refrigerante,borda tradicional,tomate,calabresa,anchova,pepperoni,ovo,massa tradicional,mussarela,catupiry
cerveja,sabor catupiry,pepperoni,cebola,cebola,bacon,palmito,massa grossa,parmesão,queijo brie
cerveja,borda tradicional,bacon,alho,alho,carne moída,berinjela,massa tradicional,provolone,mussarela
refrigerante,sabor catupiry,bacon,queijo gouda,azeitona,calabresa,frango,massa tradicional,mussarela,mussarela
vinho tinto,cream cheese,camarão,alho-poró,carne seca,cebolinha,azeite de oliva,massa final,mussarela,catupiry
limonada,sabor catupiry,pepperoni,carne seca,azeite de oliva,queijo roquefort,rúcula,massa integral,mussarela,parmesão
suco de laranja,cheddar,calabresa,tomate,presunto,ovo,abacaxi,massa tradicional,mussarela,catupiry
limonada,cream cheese,cebola,pepperoni,pimentão,tomate,bacon,massa tradicional,parmesão,provolone
limonada,borda tradicional,alho,pepperoni,NA,NA,NA,massa grossa,mussarela,NA
suco de laranja,borda tradicional,presunto,cebola,azeitona,tomate,linguiça calabresa defumada,massa tradicional,parmesão,mussarela
suco de laranja,sabor catupiry,pepperoni,carne moída,tomate,cebola,frango,massa tradicional,mussarela,parmesão
suco de laranja,borda tradicional,presunto,calabresa,bacon,cebola caramelizada,orégano,massa tradicional,mussarela,catupiry
água com gás,sabor catupiry,tomate,cebola,pepperoni,alcaparra,alho-poró,massa tradicional,gorgonzola,parmesão
limonada,cream cheese,frango,carne seca,alho-poró,milho,bacon,massa final,parmesão,mussarela
refrigerante,borda tradicional,azeitona,tomate,milho,alho,orégano,massa tradicional,mussarela,parmesão
água com gás,sabor catupiry,bacon,calabresa,linguiça calabresa defumada,frango,carne seca,massa final,mussarela,provolone
suco de laranja,cheddar,pepperoni,tomate,queijo de cabra,presunto,palmito,massa tradicional,mussarela,parmesão
suco de maracujá,sabor catupiry,pepperoni,bacon,alho,frango,NA,massa tradicional,mussarela,NA
refrigerante,borda tradicional,cebola,pepperoni,azeitona,milho,alho,massa tradicional,parmesão,mussarela
cerveja,borda tradicional,pepperoni,pimenta calabresa,alho-poró,beterraba,azeite de oliva,massa final,mussarela,provolone
vinho tinto,borda tradicional,picles,pepperoni,tomate,presunto,bacon,massa tradicional,mussarela,gorgonzola
limonada,cream cheese,tomate,azeitona,palmito,frango,orégano,massa final,mussarela,catupiry
cerveja,borda tradicional,cebola,presunto,azeite de oliva,pepperoni,tomate,massa final,provolone,parmesão
vinho tinto,sabor catupiry,alho,bacon,orégano,milho,frango,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,calabresa,pepperoni,cogumelos,bacon,queijo de cabra,massa final,mussarela,cheddar
chá gelado,sabor catupiry,cogumelos,bacon,linguiça calabresa defumada,linguiça,calabresa,massa tradicional,cheddar,mussarela
cerveja,sabor catupiry,cebola,azeitona,azeite de oliva,picles,pimentão,massa tradicional,mussarela,ricota
cerveja,sabor catupiry,calabresa,presunto,cogumelos,cebola,azeitona,massa tradicional,catupiry,mussarela
refrigerante,sabor catupiry,tomate,cebola,orégano,calabresa,ovo,massa tradicional,mussarela,gorgonzola
cerveja,cheddar,tomate,pepperoni,bacon,queijo cheddar,ovo,massa tradicional,catupiry,mussarela
suco de uva,borda tradicional,mel,pêssego,nozes,NA,NA,massa final,mussarela,gorgonzola
vinho tinto,sabor catupiry,tomate,azeitona,bacon,ovo,orégano,massa final,provolone,queijo brie
refrigerante,borda tradicional,tomate,pepperoni,cebola,cogumelos,orégano,massa final,cheddar,gorgonzola
suco de uva,borda tradicional,bacon,alho,azeitona,tomate,cogumelos,massa final,mussarela,NA
refrigerante,sabor catupiry,cebola,cebola,frango,NA,NA,massa tradicional,catupiry,mussarela
refrigerante,cheddar,calabresa,cebola,azeitona,bacon,pimenta biquinho,massa tradicional,parmesão,mussarela
vinho tinto,cream cheese,cogumelos,tomate,bacon,milho,cebola,massa final,mussarela,parmesão
refrigerante,sabor catupiry,cogumelos,cebola caramelizada,orégano,NA,NA,massa tradicional,mussarela,catupiry
suco de abacaxi,cream cheese,brócolis,alcaparra,brócolis,brócolis,brócolis,massa tradicional,ricota,ricota
limonada,borda tradicional,presunto,tomate,azeitona,orégano,ovo,massa grossa,mussarela,catupiry
água com gás,borda tradicional,pepperoni,cebola,pimentão,azeitona,tomate,massa tradicional,gorgonzola,mussarela
chá gelado,borda tradicional,tomate,picles,azeite de oliva,azeitona,cebola,massa tradicional,NA,NA
vinho tinto,borda tradicional,tomate,azeitona,NA,NA,NA,massa tradicional,mussarela,parmesão
cerveja,borda tradicional,cebola,calabresa,pimentão,pimenta calabresa,tomate,massa final,mussarela,parmesão
refrigerante,cheddar,brócolis,bacon,palmito,frango,cebola,massa final,parmesão,mussarela
água com gás,sabor catupiry,presunto,tomate,queijo cheddar,azeitona,cogumelos,massa final,parmesão,mussarela
refrigerante,sabor catupiry,linguiça calabresa defumada,cebola,tomate seco,azeitona,NA,massa grossa,mussarela,cheddar
refrigerante,borda tradicional,brócolis,milho,tomate seco,bacon,orégano,massa tradicional,catupiry,gorgonzola
limonada,borda tradicional,calabresa,atum,bacon,NA,NA,massa integral,mussarela,provolone
água com gás,sabor catupiry,pepperoni,azeite de oliva,presunto,alho,linguiça,massa final,mussarela,queijo coalho
refrigerante,cream cheese,bacon,rúcula,tomate,palmito,queijo roquefort,massa tradicional,provolone,gorgonzola
cerveja,sabor catupiry,presunto,pepperoni,tomate,camarão,castanhas,massa tradicional,gorgonzola,provolone
limonada,sabor catupiry,presunto,azeitona,tomate,cebola,milho,massa final,mussarela,cheddar
água com gás,borda tradicional,cebola,azeitona,bacon,calabresa,palmito,massa final,cheddar,NA
refrigerante,borda tradicional,tomate,bacon,azeite de oliva,azeite de oliva,ovo,massa tradicional,cheddar,NA
refrigerante,borda tradicional,cebola,bacon,linguiça calabresa defumada,orégano,azeitona,massa tradicional,mussarela,catupiry
vinho tinto,sabor catupiry,azeitona,cogumelos,tomate,NA,queijo cheddar,massa tradicional,mussarela,provolone
chá gelado,cream cheese,abobrinha,berinjela,linguiça,grão de bico,atum,massa tradicional,gorgonzola,provolone
suco de laranja,cream cheese,bacon,bacon,frango,cebola,ovo,massa grossa,gorgonzola,ricota
suco de abacaxi,sabor catupiry,cebola,milho,atum,carne seca,presunto,massa final,ricota,parmesão
limonada,cheddar,rúcula,cogumelos,tomate,alho,queijo cheddar,massa tradicional,provolone,parmesão
