"","bebida","borda","ingrediente 1","ingrediente 2","ingrediente 3","ingrediente 4","ingrediente 5","massa","queijo 1","queijo 2"
"776","refrigerante","cream cheese","brócolis","alho","bacon","pimenta calabresa","ovo","massa tradicional","gorgonzola","parmesão"
"777","suco de uva","cream cheese","abacaxi","atum",NA,NA,NA,"massa final","mussarela","provolone"
"778","refrigerante","borda tradicional","presunto","brócolis","bacon","orégano","abacaxi","massa final","mussarela","parmesão"
"779","refrigerante","sabor catupiry","tomate","milho","carne moída","calabresa","orégano","massa final","mussarela","parmesão"
"780","refrigerante","sabor catupiry","tomate","orégano","calabresa","cebola",NA,"massa tradicional","mussarela","mussarela"
"781","cerveja","sabor catupiry","tomate","alho","bacon","azeitona",NA,"massa final","mussarela","provolone"
"782","refrigerante","borda tradicional","brócolis","azeitona","alho-poró","bacon",NA,"massa final","mussarela","parmesão"
"783","refrigerante","sabor catupiry","calabresa",NA,NA,NA,NA,"massa final","mussarela","provolone"
"784","cerveja","borda tradicional","pimentão","cebola","linguiça calabresa defumada","pimenta calabresa","tomate","massa tradicional","provolone","gorgonzola"
"785","refrigerante","cheddar","tomate","milho","bacon","linguiça calabresa defumada","cogumelos","massa tradicional","mussarela","provolone"
"786","refrigerante","borda tradicional","tomate","azeitona","presunto","milho","bacon","massa final","mussarela","provolone"
"787","vinho tinto","borda tradicional","cebola","tomate seco","azeite de oliva","orégano",NA,"massa tradicional","mussarela","parmesão"
"788","refrigerante","cream cheese","cogumelos","azeitona","cebola","pepperoni","camarão","massa grossa","provolone","cheddar"
"789","chá gelado","sabor catupiry","presunto","tomate","bacon",NA,NA,"massa final","provolone","parmesão"
"790","refrigerante","cream cheese","calabresa","bacon","orégano","tomate","cebola","massa final","mussarela","parmesão"
"791","vinho tinto","borda tradicional","queijo gouda","amêndoas","pêssego",NA,NA,"massa final",NA,NA
"792","refrigerante","sabor catupiry","atum","cebola","azeitona","tomate","pimenta biquinho","massa tradicional","mussarela","provolone"
"793","refrigerante","cream cheese","pepperoni","bacon","orégano","azeite de oliva","queijo coalho grelhado","massa final","provolone","parmesão"
"794","suco de abacaxi","borda tradicional","cebola","calabresa","azeite de oliva",NA,NA,"massa tradicional","mussarela",NA
"795","refrigerante","borda tradicional","pepperoni","azeitona","bacon","queijo coalho grelhado","orégano","massa final","mussarela","queijo coalho"
"796","suco de maracujá","cream cheese","alho","tomate","azeitona","tomate","anchova","massa tradicional","parmesão","catupiry"
"797","refrigerante","borda tradicional","tomate","calabresa","orégano","pimentão","bacon","massa final","mussarela","catupiry"
"798","cerveja","borda tradicional","calabresa","azeitona","cebola",NA,NA,"massa tradicional","parmesão","provolone"
"799","refrigerante","borda tradicional","pepperoni","cebola","alho","azeite de oliva","tomate","massa tradicional","mussarela","gorgonzola"
"800","refrigerante","cream cheese","frango","palmito","alho-poró","pimentão assado","azeitona","massa tradicional","mussarela","queijo feta"
"801","refrigerante","borda tradicional","camarão","alho","castanhas",NA,"rúcula","massa tradicional","mussarela","gorgonzola"
"802","vinho tinto","borda tradicional","tomate","pepperoni","bacon",NA,NA,"massa tradicional","mussarela","parmesão"
"803","cerveja","sabor catupiry","brócolis","azeite de oliva","alho","tomate","azeitona","massa final","provolone","cheddar"
"804","refrigerante","borda tradicional","bacon","ovo","abacate","azeitona","cogumelos","massa tradicional","mussarela","gorgonzola"
"805","chá gelado","sabor catupiry","pepperoni",NA,NA,NA,NA,"massa final","provolone","mussarela"
"806","refrigerante","borda tradicional","pepperoni","bacon","azeitona","tomate","alcaparra","massa tradicional","mussarela","parmesão"
"807","chá gelado","cream cheese","tomate seco","frango","milho","salsinha","bacon","massa integral","mussarela","parmesão"
"808","chá gelado","sabor catupiry","frango","bacon","milho","azeitona","tomate","massa final","mussarela","catupiry"
"809","refrigerante","borda tradicional","pepperoni","alho",NA,NA,NA,"massa tradicional","mussarela",NA
"810","vinho tinto","sabor catupiry","tomate","brócolis","pepperoni","tomate seco","cogumelos","massa final","gorgonzola","provolone"
"811","vinho tinto","cream cheese","presunto","cebola","alho","ovo","orégano","massa integral","ricota","queijo brie"
"812","refrigerante","borda tradicional","anchova","tomate","azeitona","azeite de oliva","rúcula","massa final","mussarela",NA
"813","refrigerante","borda tradicional","cebola","tomate","bacon","carne seca","orégano","massa final","mussarela","catupiry"
"814","cerveja","sabor catupiry","calabresa","azeitona","ovo","bacon","cebola","massa final","mussarela","queijo brie"
"815","suco de laranja","sabor catupiry","brócolis","bacon","alho",NA,NA,"massa final","mussarela",NA
"816","vinho tinto","borda tradicional","bacon","tomate seco","azeitona","palmito","linguiça calabresa defumada","massa tradicional","mussarela","gorgonzola"
"817","chá gelado","cream cheese","frango","tomate seco","azeite de oliva","bacon","pimenta biquinho","massa integral","parmesão","ricota"
"818","refrigerante","sabor catupiry","bacon","frango","azeitona","linguiça calabresa defumada","cebola","massa tradicional","catupiry","mussarela"
"819","refrigerante","sabor catupiry","frango","carne seca","queijo roquefort","cebola","orégano","massa tradicional","mussarela","cheddar"
"820","chá gelado","borda tradicional","pimentão assado","cogumelos","azeitona","orégano","alho","massa final","mussarela","queijo coalho"
"821","suco de maracujá","cheddar","pepperoni","queijo roquefort","milho","queijo gouda","azeitona","massa final","gorgonzola","mussarela"
"822","chá gelado","borda tradicional","alcaparra","azeite de oliva","tomate","cogumelos","orégano","massa tradicional","mussarela","queijo brie"
"823","refrigerante","sabor catupiry","azeitona","calabresa","palmito","frango","uva passa","massa final","cheddar","catupiry"
"824","cerveja","borda tradicional","pepperoni","cebola","tomate","bacon","calabresa","massa tradicional","mussarela","queijo coalho"
"825","refrigerante","cream cheese","carne seca","bacon","calabresa","cebola","presunto","massa final","mussarela","cheddar"
"826","refrigerante","sabor catupiry","pepperoni","tomate","cebola","cogumelos","palmito","massa final","mussarela","parmesão"
"827","suco de laranja","borda tradicional","azeite de oliva","linguiça calabresa defumada","bacon","alho","orégano","massa tradicional","parmesão","queijo brie"
"828","refrigerante","sabor catupiry","cebola","calabresa","orégano","tomate","alho","massa tradicional","mussarela","provolone"
"829","cerveja","sabor catupiry","tomate","calabresa","azeite de oliva","queijo gouda","cebola","massa tradicional","mussarela","catupiry"
"830","refrigerante","borda tradicional","bacon","carne seca","alho-poró","pimenta biquinho","queijo coalho grelhado","massa grossa","mussarela","queijo brie"
"831","água com gás","cream cheese","frango","calabresa","tomate","azeitona","orégano","massa tradicional","mussarela","catupiry"
"832","cerveja","sabor catupiry","pepperoni","presunto","rúcula","bacon","tomate seco","massa tradicional","queijo brie","gorgonzola"
"833","limonada","sabor catupiry","pepperoni","azeite de oliva","tomate","queijo gouda","queijo roquefort","massa tradicional","mussarela","parmesão"
"834","água com gás","borda tradicional","calabresa","bacon","presunto","milho","frango","massa final","mussarela","parmesão"
"835","refrigerante","sabor catupiry","orégano","cebola","pepperoni","calabresa","azeite de oliva","massa tradicional","mussarela","cheddar"
"836","refrigerante","borda tradicional","pepperoni","cogumelos","tomate","bacon","orégano","massa grossa","mussarela","catupiry"
"837","refrigerante","sabor catupiry","pepperoni","milho","palmito","bacon","frango","massa tradicional","parmesão","queijo brie"
"838","refrigerante","cheddar","alho","cebola","bacon","calabresa","pimenta calabresa","massa tradicional","parmesão","catupiry"
"839","vinho tinto","sabor catupiry","bacon","frango","orégano","azeite de oliva","tomate seco","massa final","gorgonzola","mussarela"
"840","refrigerante","cheddar","bacon","pimentão","cogumelos",NA,NA,"massa tradicional","mussarela","parmesão"
"841","cerveja","borda tradicional","pepperoni","tomate","queijo cheddar","azeitona","bacon","massa final","cheddar","provolone"
"842","vinho tinto","borda tradicional","abobrinha",NA,NA,NA,NA,"massa tradicional","mussarela","parmesão"
"843","suco de maracujá","sabor catupiry","pepperoni","bacon","palmito","tomate seco","cebola caramelizada","massa tradicional","catupiry","mussarela"
"844","água com gás","sabor catupiry","calabresa","cebola","ovo","cogumelos","azeitona","massa tradicional","mussarela","gorgonzola"
"845","refrigerante","borda tradicional","cogumelos","calabresa","pepperoni","linguiça calabresa defumada","azeite de oliva","massa final","queijo coalho","parmesão"
"846","limonada","cheddar","calabresa","bacon","presunto","queijo cheddar","camarão","massa tradicional","mussarela","provolone"
"847","refrigerante","borda tradicional","carne seca","cebola","bacon","azeitona",NA,"massa tradicional","mussarela","queijo coalho"
"848","refrigerante","borda tradicional","pepperoni","orégano","alho-poró","cogumelos","pimentão","massa tradicional","mussarela",NA
"849","vinho tinto","borda tradicional","nozes","mel",NA,NA,NA,"massa final","gorgonzola",NA
"850","limonada","sabor catupiry","pepperoni","ervilha","azeitona","bacon","frango","massa tradicional","catupiry","gorgonzola"
"851","cerveja","cheddar","bacon","calabresa","azeitona","tomate","queijo cheddar","massa tradicional","mussarela","catupiry"
"852","suco de abacaxi","cheddar","presunto","azeitona","brócolis","queijo roquefort","lentilha","massa final","ricota","queijo brie"
"853","suco de laranja","borda tradicional","frango","cogumelos","salsinha","orégano",NA,"massa final","mussarela","catupiry"
"854","suco de laranja","sabor catupiry","bacon","carne seca","tomate seco","cogumelos","azeitona","massa final","mussarela","parmesão"
"855","refrigerante","borda tradicional","pepperoni","azeitona","cebola","bacon","palmito","massa tradicional","mussarela","cheddar"
"856",NA,"sabor catupiry","cogumelos","bacon","milho",NA,NA,"massa tradicional","mussarela","parmesão"
"857",NA,"borda tradicional","orégano","tomate","linguiça calabresa defumada","cebola","presunto","massa tradicional","mussarela","provolone"
"858","refrigerante","borda tradicional","frango","bacon","azeite de oliva","orégano","azeitona","massa final","catupiry",NA
"859","suco de abacaxi","borda tradicional","orégano","calabresa","azeitona","tomate","cebola","massa final","mussarela","parmesão"
"860","refrigerante","sabor catupiry","calabresa","linguiça calabresa defumada","orégano","ervilha","milho","massa tradicional","catupiry","mussarela"
"861","suco de maracujá","sabor catupiry","tomate seco","frango","cebola","rúcula","orégano","massa tradicional","parmesão","mussarela"
"862","chá gelado","borda tradicional","bacon","ovo","cogumelos","azeite de oliva","carne seca","massa tradicional","parmesão","catupiry"
"863","suco de laranja","borda tradicional","cebola","azeitona","brócolis","palmito","milho","massa final",NA,NA
"864","água com gás","sabor catupiry","pepperoni","alho","azeitona","tomate","bacon","massa tradicional","mussarela","provolone"
"865","refrigerante","sabor catupiry","calabresa","cebola","cebola","orégano",NA,"massa tradicional","mussarela","catupiry"
"866","limonada","sabor catupiry","pimentão","azeitona","pepperoni","uva passa","cebola","massa final","provolone","mussarela"
"867","água com gás","borda tradicional","calabresa","alho","azeitona","azeite de oliva","anchova em conserva","massa grossa","mussarela","parmesão"
"868","refrigerante","borda tradicional","tomate","calabresa","pepperoni",NA,NA,"massa final","mussarela","parmesão"
"869","refrigerante","sabor catupiry","brócolis","bacon",NA,NA,NA,"massa tradicional","mussarela",NA
"870","refrigerante","sabor catupiry","pepperoni",NA,NA,NA,NA,"massa grossa",NA,"cheddar"
"871","chá gelado","sabor catupiry","alho-poró","orégano","brócolis","linguiça calabresa defumada","atum","massa final","mussarela","provolone"
"872","chá gelado","sabor catupiry","anchova","alcaparra","queijo feta","tofu","amêndoas","massa grossa","queijo brie","gorgonzola"
"873","vinho tinto","borda tradicional","cogumelos","alho","brócolis","espinafre","tomate seco","massa integral",NA,NA
"874","vinho tinto","sabor catupiry","presunto","ervilha","tomate","palmito","ovo","massa final","mussarela",NA
"875","chá gelado","sabor catupiry","pepperoni","abobrinha","palmito","azeitona","cebola caramelizada","massa final","mussarela",NA
"876",NA,"borda tradicional","cebola","alho","azeitona","alho-poró",NA,"massa tradicional","provolone","parmesão"
"877","cerveja","cheddar","presunto","pepperoni","bacon","palmito","calabresa","massa tradicional","catupiry","mussarela"
"878","refrigerante","sabor catupiry","orégano","queijo cheddar","tomate","calabresa","cebola","massa tradicional","mussarela","cheddar"
"879","chá gelado","borda tradicional","rúcula","tomate seco",NA,NA,NA,"massa tradicional","mussarela",NA
"880","refrigerante","sabor catupiry","frango","tomate","milho","bacon","azeitona","massa tradicional","mussarela","catupiry"
"881","refrigerante","borda tradicional","cebola","calabresa",NA,NA,NA,"massa tradicional",NA,"mussarela"
"882","refrigerante","cheddar","pepperoni","tomate","cebola","orégano","azeitona","massa tradicional","mussarela","cheddar"
"883","chá gelado","borda tradicional","calabresa","cebola","azeitona","orégano",NA,"massa final","mussarela","mussarela"
"884","refrigerante","sabor catupiry","tomate","azeitona","palmito","cebola","queijo gouda","massa tradicional","mussarela","gorgonzola"
"885","suco de laranja","cream cheese","presunto","calabresa","azeitona","ovo","linguiça","massa tradicional","cheddar","catupiry"
"886","suco de abacaxi","borda tradicional","cogumelos","bacon","pepperoni","azeitona","alho","massa integral","mussarela","parmesão"
"887","suco de maracujá","sabor catupiry","tomate","bacon","frango","milho","orégano","massa tradicional","mussarela","catupiry"
"888","suco de maracujá","borda tradicional","calabresa","presunto","azeitona","palmito","bacon","massa final","mussarela","parmesão"
"889","vinho tinto","borda tradicional","azeitona","bacon","linguiça calabresa defumada","presunto","cebola","massa tradicional","parmesão","gorgonzola"
"890","suco de maracujá","cheddar","presunto","pepperoni","bacon","milho","mel","massa tradicional","parmesão","provolone"
"891",NA,"borda tradicional","pepperoni","tomate","azeite de oliva","linguiça","rúcula","massa grossa","mussarela","parmesão"
"892","refrigerante","sabor catupiry","bacon","azeite de oliva","presunto","cebola","orégano","massa tradicional","mussarela","catupiry"
"893","limonada","sabor catupiry","alho-poró","pepperoni","rúcula","carne seca","tomate seco","massa integral","mussarela","parmesão"
"894","refrigerante","sabor catupiry","presunto","cebola","azeitona","bacon","tomate seco","massa tradicional","parmesão","cheddar"
"895","refrigerante","sabor catupiry","pepperoni","tomate","cogumelos","orégano","bacon","massa tradicional","mussarela","provolone"
"896","refrigerante","cheddar","queijo gouda","bacon","frango","cogumelos","azeitona","massa tradicional","mussarela","parmesão"
"897","cerveja","cream cheese","pepperoni","calabresa","cebola","tomate seco","bacon","massa final","mussarela","queijo coalho"
"898","chá gelado","sabor catupiry","milho","tomate","calabresa","alho-poró",NA,"massa tradicional","queijo coalho","mussarela"
"899","vinho tinto","borda tradicional","carne moída","cebolinha","linguiça","azeite de oliva","linguiça calabresa defumada","massa grossa","mussarela","parmesão"
"900","água com gás","sabor catupiry","cogumelos","azeitona","azeite de oliva","tofu","orégano","massa final","mussarela","gorgonzola"
"901","refrigerante","cream cheese","cebola","pimentão","tomate seco","carne seca","linguiça calabresa defumada","massa final","mussarela","parmesão"
"902","vinho tinto","cheddar","salsinha","pimenta calabresa","alho-poró","azeite de oliva","cogumelos","massa integral","mussarela","provolone"
"903","suco de maracujá","sabor catupiry","presunto","tomate","bacon","calabresa","palmito","massa tradicional","parmesão","mussarela"
"904","refrigerante","sabor catupiry","cogumelos","camarão","alho-poró","alho","azeite de oliva","massa tradicional","mussarela","queijo brie"
"905","refrigerante","sabor catupiry","tomate","azeitona","alho","azeite de oliva","atum","massa tradicional","mussarela","parmesão"
"906","água com gás","cream cheese","alho-poró","linguiça calabresa defumada","queijo coalho grelhado","orégano","cebola","massa tradicional","mussarela","catupiry"
"907","refrigerante","borda tradicional","frango","milho","ovo","alho","orégano","massa final","mussarela","catupiry"
"908","suco de maracujá","sabor catupiry","carne seca","pepperoni","cogumelos","bacon","linguiça calabresa defumada","massa grossa","mussarela","parmesão"
"909","cerveja","sabor catupiry","calabresa","bacon","alho","frango","linguiça calabresa defumada","massa tradicional","mussarela","parmesão"
"910","cerveja","sabor catupiry","tomate","presunto","cebola","azeitona","ovo","massa final","mussarela","parmesão"
"911","limonada","borda tradicional","pepperoni","tomate","azeitona","brócolis","calabresa","massa tradicional","mussarela","parmesão"
"912","vinho tinto","sabor catupiry","alho-poró","tomate","cogumelos","pepperoni","bacon","massa tradicional","mussarela","catupiry"
"913",NA,"sabor catupiry","cebola","bacon","linguiça calabresa defumada","azeitona","azeite de oliva","massa tradicional","mussarela","catupiry"
"914","refrigerante","sabor catupiry","linguiça calabresa defumada","tomate seco","cebolinha","azeitona",NA,"massa grossa","mussarela","cheddar"
"915","vinho tinto","borda tradicional","presunto","tomate","azeitona","bacon",NA,"massa tradicional","mussarela","parmesão"
"916","vinho tinto","cheddar","cebola","frango","bacon","salsinha","milho","massa final","catupiry","provolone"
"917","vinho tinto","sabor catupiry","tomate","presunto","bacon","milho","queijo cheddar","massa tradicional","mussarela","cheddar"
"918","cerveja","cream cheese","cebola","tomate","palmito","camarão","cebolinha","massa final","mussarela","ricota"
